time,wind,solar,electric,heat,cold
2023/1/9 1:00,454.8038819,0.0,1174.138799,493.298269,155.25025
2023/1/9 2:00,629.1119776,0.0,1155.590002,521.37609,153.50655
2023/1/9 3:00,352.6232741,0.0,1164.8644,605.609553,169.5805667
2023/1/9 4:00,632.1172896,0.0,1125.911928,648.6944853,193.2265167
2023/1/9 5:00,6.08e-09,0.0,1237.204706,695.16812,257.9457
2023/1/9 6:00,423.6432881,0.0,1331.803566,706.3024283,277.19265
2023/1/9 7:00,6.92e-09,98.912,1398.579232,719.8572385,275.2378333
2023/1/9 8:00,221.1811399,278.752,1346.642603,744.0622566,274.7060667
2023/1/9 9:00,330.0083365,442.856,1374.465797,703.8819265,289.5036667
2023/1/9 10:00,1.75e-09,542.892,1370.756038,685.0020124,289.85965
2023/1/9 11:00,226.703741,608.084,1389.304834,623.0371661,317.43555
2023/1/9 12:00,463.1243797,541.768,1383.740195,547.5175096,358.1934333
2023/1/9 13:00,31.04748205,441.732,1365.191399,467.1568495,382.3570167
2023/1/9 14:00,8.99e-09,310.224,1346.642603,501.0438748,381.7166
2023/1/9 15:00,21.10316567,157.36,1372.610918,491.8459679,397.3189167
2023/1/9 16:00,230.3239959,14.612,1418.982908,492.3300683,362.5005667
2023/1/9 17:00,368.6892263,0.0,1380.030436,495.7187708,335.6825667
2023/1/9 18:00,8.12e-09,0.0,1361.48164,527.6693947,320.2109833
2023/1/9 19:00,698.2341535,0.0,1374.465797,570.2702266,310.9183167
2023/1/9 20:00,127.2843028,0.0,1324.384048,612.8710585,295.9511167
2023/1/9 21:00,369.6533754,0.0,1200.107113,605.1254527,286.1664333
2023/1/9 22:00,139.3055507,0.0,1196.397354,583.3409364,278.97875
2023/1/9 23:00,653.1544736,0.0,1240.914465,576.5635313,257.8573667
2023/1/10 0:00,138.3037801,0.0,1235.349826,559.1359183,241.2206667
2023/1/10 1:00,115.2630548,0.0,1198.252234,560.5882193,232.8016167
2023/1/10 2:00,641.1332256,0.0,1163.009521,562.0405204,230.2116833
2023/1/10 3:00,351.6215034,0.0,1129.621688,588.18194,227.3629333
2023/1/10 4:00,394.697642,0.0,1105.508253,632.2350729,232.49245
2023/1/10 5:00,234.2063851,0.0,1096.233855,663.7015965,249.8084333
2023/1/10 6:00,61.29125157,0.0,1083.249697,700.493224,265.2323167
2023/1/10 7:00,275.0157617,47.208,1120.34729,747.4509591,271.80785
2023/1/10 8:00,255.0377019,219.18,1155.590002,743.0940559,269.7064
2023/1/10 9:00,3.45e-09,424.872,1218.655909,679.6769084,272.5277667
2023/1/10 10:00,9.64e-09,515.916,1305.835251,584.7932375,272.59225
2023/1/10 11:00,251.9750364,484.444,1287.286455,534.9309002,312.8810833
